(0              , 1              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   (1              , 0              )   

(0              , 1              )   (1              , -1             )   (0              , -1             )   (-1             , -1             )   (-2             , -1             )   (-3             , -1             )   (-4             , -1             )   (-5             , -1             )   (-6             , -1             )   (-7             , -1             )   (-8             , -1             )   (-9             , -1             )   (-10            , -1             )   (-11            , -1             )   (-12            , -1             )   (-13            , -1             )   (-14            , -1             )   (-15            , -1             )   (-16            , -1             )   (-17            , -1             )   (-18            , -1             )   (-19            , -1             )   (-20            , -1             )   (-21            , -1             )   (-22            , -1             )   (-23            , -1             )   (-24            , -1             )   (-25            , -1             )   (-26            , -1             )   (-27            , -1             )   (-28            , -1             )   (-29            , -1             )   (-30            , -1             )   (-31            , -1             )   (-32            , -1             )   (-33            , -1             )   (-34            , -1             )   (-35            , -1             )   (-36            , -1             )   (-37            , -1             )   (-38            , -1             )   (-39            , -1             )   (-40            , -1             )   (-41            , -1             )   (-42            , -1             )   (-43            , -1             )   (-44            , -1             )   (-45            , -1             )   (-46            , -1             )   (-47            , -1             )   (-48            , -1             )   

(0              , 1              )   (1              , -2             )   (-1             , -1             )   (-2             , 0              )   (-2             , 1              )   (-1             , 2              )   (1              , 3              )   (4              , 4              )   (8              , 5              )   (13             , 6              )   (19             , 7              )   (26             , 8              )   (34             , 9              )   (43             , 10             )   (53             , 11             )   (64             , 12             )   (76             , 13             )   (89             , 14             )   (103            , 15             )   (118            , 16             )   (134            , 17             )   (151            , 18             )   (169            , 19             )   (188            , 20             )   (208            , 21             )   (229            , 22             )   (251            , 23             )   (274            , 24             )   (298            , 25             )   (323            , 26             )   (349            , 27             )   (376            , 28             )   (404            , 29             )   (433            , 30             )   (463            , 31             )   (494            , 32             )   (526            , 33             )   (559            , 34             )   (593            , 35             )   (628            , 36             )   (664            , 37             )   (701            , 38             )   (739            , 39             )   (778            , 40             )   (818            , 41             )   (859            , 42             )   (901            , 43             )   (944            , 44             )   (988            , 45             )   (1033           , 46             )   (1079           , 47             )   

(0              , 1              )   (1              , -3             )   (-2             , 0              )   (-2             , 2              )   (0              , 3              )   (3              , 3              )   (6              , 2              )   (8              , 0              )   (8              , -3             )   (5              , -7             )   (-2             , -12            )   (-14            , -18            )   (-32            , -25            )   (-57            , -33            )   (-90            , -42            )   (-132           , -52            )   (-184           , -63            )   (-247           , -75            )   (-322           , -88            )   (-410           , -102           )   (-512           , -117           )   (-629           , -133           )   (-762           , -150           )   (-912           , -168           )   (-1080          , -187           )   (-1267          , -207           )   (-1474          , -228           )   (-1702          , -250           )   (-1952          , -273           )   (-2225          , -297           )   (-2522          , -322           )   (-2844          , -348           )   (-3192          , -375           )   (-3567          , -403           )   (-3970          , -432           )   (-4402          , -462           )   (-4864          , -493           )   (-5357          , -525           )   (-5882          , -558           )   (-6440          , -592           )   (-7032          , -627           )   (-7659          , -663           )   (-8322          , -700           )   (-9022          , -738           )   (-9760          , -777           )   (-10537         , -817           )   (-11354         , -858           )   (-12212         , -900           )   (-13112         , -943           )   (-14055         , -987           )   (-15042         , -1032          )   

(0              , 1              )   (1              , -4             )   (-3             , 2              )   (-1             , 4              )   (3              , 3              )   (6              , 0              )   (6              , -4             )   (2              , -8             )   (-6             , -11            )   (-17            , -12            )   (-29            , -10            )   (-39            , -4             )   (-43            , 7              )   (-36            , 24             )   (-12            , 48             )   (36             , 80             )   (116            , 121            )   (237            , 172            )   (409            , 234            )   (643            , 308            )   (951            , 395            )   (1346           , 496            )   (1842           , 612            )   (2454           , 744            )   (3198           , 893            )   (4091           , 1060           )   (5151           , 1246           )   (6397           , 1452           )   (7849           , 1679           )   (9528           , 1928           )   (11456          , 2200           )   (13656          , 2496           )   (16152          , 2817           )   (18969          , 3164           )   (22133          , 3538           )   (25671          , 3940           )   (29611          , 4371           )   (33982          , 4832           )   (38814          , 5324           )   (44138          , 5848           )   (49986          , 6405           )   (56391          , 6996           )   (63387          , 7622           )   (71009          , 8284           )   (79293          , 8983           )   (88276          , 9720           )   (97996          , 10496          )   (108492         , 11312          )   (119804         , 12169          )   (131973         , 13068          )   (145041         , 14010          )   

