(0      , 1      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   (1      , 0      )   

(0      , 1      )   (1      , -1     )   (0      , -1     )   (-1     , -1     )   (-2     , -1     )   (-3     , -1     )   (-4     , -1     )   (-5     , -1     )   (-6     , -1     )   (-7     , -1     )   (-8     , -1     )   (-9     , -1     )   (-10    , -1     )   (-11    , -1     )   (-12    , -1     )   (-13    , -1     )   (-14    , -1     )   (-15    , -1     )   (-16    , -1     )   (-17    , -1     )   (-18    , -1     )   (-19    , -1     )   (-20    , -1     )   (-21    , -1     )   (-22    , -1     )   

(0      , 1      )   (1      , -2     )   (-1     , -1     )   (-2     , 0      )   (-2     , 1      )   (-1     , 2      )   (1      , 3      )   (4      , 4      )   (8      , 5      )   (13     , 6      )   (19     , 7      )   (26     , 8      )   (34     , 9      )   (43     , 10     )   (53     , 11     )   (64     , 12     )   (76     , 13     )   (89     , 14     )   (103    , 15     )   (118    , 16     )   (134    , 17     )   (151    , 18     )   (169    , 19     )   (188    , 20     )   (208    , 21     )   

(0      , 1      )   (1      , -3     )   (-2     , 0      )   (-2     , 2      )   (0      , 3      )   (3      , 3      )   (6      , 2      )   (8      , 0      )   (8      , -3     )   (5      , -7     )   (-2     , -12    )   (-14    , -18    )   (-32    , -25    )   (-57    , -33    )   (-90    , -42    )   (-132   , -52    )   (-184   , -63    )   (-247   , -75    )   (-322   , -88    )   (-410   , -102   )   (-512   , -117   )   (-629   , -133   )   (-762   , -150   )   (-912   , -168   )   (-1080  , -187   )   

(0      , 1      )   (1      , -4     )   (-3     , 2      )   (-1     , 4      )   (3      , 3      )   (6      , 0      )   (6      , -4     )   (2      , -8     )   (-6     , -11    )   (-17    , -12    )   (-29    , -10    )   (-39    , -4     )   (-43    , 7      )   (-36    , 24     )   (-12    , 48     )   (36     , 80     )   (116    , 121    )   (237    , 172    )   (409    , 234    )   (643    , 308    )   (951    , 395    )   (1346   , 496    )   (1842   , 612    )   (2454   , 744    )   (3198   , 893    )   

(0      , 1      )   (1      , -5     )   (-4     , 5      )   (1      , 5      )   (6      , 0      )   (6      , -6     )   (0      , -10    )   (-10    , -10    )   (-20    , -5     )   (-25    , 5      )   (-20    , 19     )   (-1     , 35     )   (34     , 50     )   (84     , 60     )   (144    , 60     )   (204    , 44     )   (248    , 5      )   (253    , -65    )   (188    , -175   )   (13     , -335   )   (-322   , -556   )   (-878   , -850   )   (-1728  , -1230  )   (-2958  , -1710  )   (-4668  , -2305  )   

(0      , 1      )   (1      , -6     )   (-5     , 9      )   (4      , 4      )   (8      , -6     )   (2      , -12    )   (-10    , -10    )   (-20    , 0      )   (-20    , 15     )   (-5     , 30     )   (25     , 39     )   (64     , 36     )   (100    , 16     )   (116    , -24    )   (92     , -84    )   (8      , -160   )   (-152   , -243   )   (-395   , -318   )   (-713   , -363   )   (-1076  , -348   )   (-1424  , -234   )   (-1658  , 28     )   (-1630  , 498    )   (-1132  , 1248   )   (116    , 2363   )   

(0      , 1      )   (1      , -7     )   (-6     , 14     )   (8      , 0      )   (8      , -14    )   (-6     , -14    )   (-20    , 0      )   (-20    , 20     )   (0      , 35     )   (35     , 35     )   (70     , 14     )   (84     , -28    )   (56     , -84    )   (-28    , -140   )   (-168   , -176   )   (-344   , -168   )   (-512   , -91    )   (-603   , 77     )   (-526   , 350    )   (-176   , 728    )   (552    , 1190   )   (1742   , 1686   )   (3428   , 2128   )   (5556   , 2380   )   (7936   , 2247   )   

(0      , 1      )   (1      , -8     )   (-7     , 20     )   (13     , -8     )   (5      , -22    )   (-17    , -8     )   (-25    , 20     )   (-5     , 40     )   (35     , 35     )   (70     , 0      )   (70     , -56    )   (14     , -112   )   (-98    , -140   )   (-238   , -112   )   (-350   , -8     )   (-358   , 176    )   (-182   , 421    )   (239    , 680    )   (919    , 876    )   (1795   , 904    )   (2699   , 638    )   (3337   , -56    )   (3281   , -1300  )   (1981   , -3176  )   (-1195  , -5689  )   

(0      , 1      )   (1      , -9     )   (-8     , 27     )   (19     , -21    )   (-2     , -27    )   (-29    , 9      )   (-20    , 45     )   (25     , 45     )   (70     , 0      )   (70     , -70    )   (0      , -126   )   (-126   , -126   )   (-252   , -42    )   (-294   , 126    )   (-168   , 342    )   (174    , 534    )   (708    , 603    )   (1311   , 441    )   (1752   , -43    )   (1709   , -891   )   (818    , -2061  )   (-1243  , -3393  )   (-4636  , -4581  )   (-9217  , -5157  )   (-14374 , -4494  )   

